Name,Address,Phone Number,Website Link,email,,,,,,,,
Healing Hospital- Best Super Speciality Hospital in Chandigarh,"16-17-18, 19-20-21-22, Piccadily Rd, Sub. City Center, Sector 34A, Sector 35, Chandigarh, 160022, India",+91 172 508 8883,https://healinghospital.co.in/,info@healinghospital.co.in,,,,,,,,
Landmark Hospital,"Site No I, II, Sector 33 Market Rd, opp. Terrace Garden, Sector 33C, Sector 33, Chandigarh, 160020, India",+91 172 402 7000,https://landmarkhospital.in/,landmarkhospital@gmail.com,,,,,,,,
Guru Nanak Multispeciality C Hospital,"Dr.P.N.Chhuttani Memorial IMA Complex, 35B, Sector 35, Chandigarh, 160022, India",+91 172 260 1023,http://chandigarh.gov.in/,vigilance-chd@nic.in,,,,,,,,
Santokh Hospital,"# 846, Dakshin Marg, Sector 38A, Sector 38, Chandigarh, 160014, India",+91 85588 66846,https://santokhhospital.com/,hospital@santokh.in,,,,,,,,
Eden Critical Care Hospital,"116, next to Eden Hospital, opp. Hometel Hotel, Industrial Area Phase 2, Industrial Area Phase I, Chandigarh, 160002, India",+91 172 412 3400,http://www.edenhospital.net/,edenchd@gmail.com,,,,,,,,
Government Multi Specialty Hospital,"Madhya Marg, Sector 16 A, Sector 16, Chandigarh, 160015, India",+91 172 275 2042,,,,,,,,,,
DHARAM HOSPITAL,"#2040 sector 15 c, Chandigarh 160015, India",+91 95013 71164,https://www.dharamhospital.in/,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,,,,,,,,
ESIC Model Hospital,"Industrial Area Phase, 2, Ram Darbar, Chandigarh, 160002, India",+91 172 265 0292,,,,,,,,,,
Cloudnine Hospital - Chandigarh,"Plot No: 48, 2, Industrial Area Phase II, Chandigarh, 160002, India",+91 99728 99728,https://www.cloudninecare.com/centre/industrial-area-phase-ii?utm_source=gmb&utm_medium=organic&utm_campaign=cloudnine+hospital+industrial-area-phase-ii-gmb_website&utm_content=website_button,info@cloudninecare.com,,,,,,,,
Hospital,"PQJC+XQJ, Sector 22D, Sector 22, Chandigarh, 160062, India",,,,,,,,,,,
Omni Hospital,"Sco 343-345 Infront of Gurutegh Bahadur Gurudwara, Sector 34A, Chandigarh, 160022, India",+91 172 264 5777,https://omnihospitals.in/,,,,,,,,,
Tera Hi Tera Mission Hospital,"Sco 138, opposite E Sampark Center, Sector 45C, Sector 45, Chandigarh, India",+91 98887 00113,,,,,,,,,,
New Chandigarh Hospital,"Mullanpur Garibdass, Punjab 140901, India",+91 98881 18800,,,,,,,,,,
Chopra Hospital And Diagnostic Centre,"Chopra Hospital 781/1, opp. Kalagram, Gobind Pura, Modern Housing Complex, Sector 13, Chandigarh, 160101, India",,,,,,,,,,,
CHD City Hospital - 24 Hours Emergency Hospital | ICU | Ortho Doctor | Piles Doctor | Hernia Surgery in Chandigarh,"SCO 10, 11, Madhya Marg, Sector 8C, Sector 9, Chandigarh, 160009, India",+91 75080 08117,https://chdcityhospital.com/,info@chdcityhospital.com,,,,,,,,
Mukat_Hospital - Best Hospital in Chandigarh | Gallbladder Surgery Hospital | Piles Surgery | Hernia Surgery,"S.C.O 47, 48, 49, A, Dakshin Marg, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 172 434 4444,https://www.mukathospital.com/,admin@mukathospital.com,,,,,,,,
Fortis hospital,"Chandigarh Airport Area, Chandigarh, 160003, India",+91 172 506 1222,https://www.fortishealthcare.com/,,,,,,,,,
"Motherhood Chaitanya Hospital - Sector 44, Chandigarh","Hospital Site 1 And 2, Sarovar Path, 44C, Sector 50, Chandigarh, 160047, India",+91 172 508 8088,https://motherhoodchaitanya.com/?utm_source=gmb_mhc&utm_medium=localseo&utm_campaign=homepage,writetous@motherhoodindia.com,,,,,,,,
Ayu Health Hospitals - Ayushman Bharat Empanelled,"33A, Sector 33, Chandigarh, 160020, India",+91 731 485 5513,https://ayu.health/chandigarh/hospital/ayu-health-multispeciality-hospital-33a-sector-33-2?utm_source=google&utm_medium=organic&utm_campaign=GMB_sector-33,contact@ayu.health,,,,,,,,
Kaushal Hospital,"SCO 49, Sector 42 C, Chandigarh, 160036, India",+91 98557 26464,,,,,,,,,,
Mukat Hospital | Top Rated Hospital Chandigarh | Cardiology | Neurology | Nephrology | Urology | Medicine | Gastroenterology,"S.C.O 47, 49, Dakshin Marg, Sector 34B, Sector 34, Chandigarh, 160022, India",+91 90238 84444,https://www.mukathospital.com/,admin@mukathospital.com,,,,,,,,
Pandhi Hospital,"1151, Jan Marg, Near Park, 36C, Sector 36, Chandigarh, 160036, India",+91 73555 41508,,,,,,,,,,
Abhilasha Hospital | Obstetrician and Gynaecologist | Best Maternity Hospital in Chandigarh | Panchkula | Mohali,"201, behind Flowers Market, 35A, Sector 35, Chandigarh, 160022, India",+91 77196 84083,http://www.abhilashahospital.in/,abhilashahospital201@gmail.com,,,,,,,,
Jindal Hospital,"3050, Dakshin Marg, Sector 20D, Sector 20, Chandigarh, 160020, India",+91 172 491 1000,,,,,,,,,,
"Max Super Specialty Hospital, Mohali","Chandigarh Rd, near Civil Hospital, Phase 6, Mo, Chandigarh, Punjab 160055, India",+91 172 521 2000,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-mohali?utm_source=D-Organic&utm_medium=gmb&utm_campaign=mohali-profile,,,,,,,,,
P.G.I. Hospital,"Government High School, Road, Sector 35D, Sector 35, Chandigarh, 160022, India",,,,,,,,,,,
