Name,Address,Phone Number,Website Link,Email
Shri Mahant Indiresh Hospital,"Kargi - Patel Nagar Bypass, Industrial Area, Govt.Industrial Estate, Patel Nagar, Dehradun, Uttarakhand 248001",0135 667 2400,http://www.smihospital.com/,
Max Super Speciality Hospital Dehradun,"Mussoorie, Diversion Road, Dehradun, Uttarakhand 248001",0135 350 0800,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-dehradun?utm_source=D-Organic&utm_medium=gmb&utm_campaign=dehradun-profile,"  digitalquery@maxhealthcare.com,  "
Kailash Hospital Dehradun,"Main, Haridwar Rd, Jogiwala, Chowk, Dehradun, Uttarakhand 248001",0135 266 3000,https://www.kailashhealthcare.com/Kailash-Hospital-Dehradun?utm_source=google&utm_medium=gmb&utm_campaign=kailash-hospital-dehradun-gmb,
Kanishk Surgical & Super Specialty Hospital,"Kanishk Hospital - I.S.B.T Road, Main, Haridwar Bypass Rd, Dehradun, Uttarakhand 248001",094105 50980,http://kanishkhospital.com/, appointment@kanishkhospital.com
Velmed Hospital,"Turner Rd, Morowala, Clement Town, Dehradun, Uttarakhand 248002",072519 99161,,
Vibhuti Super Speciality Hospital - Urology Hospital | Gynecology & Infertility Center | RIRS Surgery Hospital in Dehradun,"Maharana Complex, Shimla Bypass Rd, near Anna Hazare Chowk, Mehuwala, Dehradun, Arcadia Grant, Uttarakhand 248001",084898 89130,https://www.vibhutihospitals.com/,"  info@vibhutihospitals.com, info@vibhutihospitals.com, info@vibhutihospitals.com,  "
Surya Hospital - Best Physician/Best Paediatrician/Best Diabetes Treatment/Vaccination,"Haridwar Bypass Road, near Railway Crossing, Dehradun, Uttarakhand 248001",078950 90047,,
Synergy Institute of Medical Sciences,"Canal Rd, Ballupur Chowk, P.O, Ballupur, Dehradun, Uttarakhand 248001",0135 222 6000,https://www.synergyhealthcare.in/,"  info@synergyhealthcare.in,  info@synergyhealthcare.in, info@synergyhealthcare.in"
HEALING TOUCH HOSPITAL,"82, Sahastradhara Rd, opposite Times Square Mall, Vikas Lok, Aamwala, Dehradun, Uttarakhand 248001",081266 30084,https://www.healingtouchhospitalddn.com/,
Samaveda Health Care | Hospital in Dehradun,"35/3 Canal road, Kishanpur, Near Police Officers Colony, Gate No. 2, Dehradun, Uttarakhand 248001",097590 09777,,
Arihant Hospital,"18, Main, Haridwar Rd, Shastri Nagar, Ajabpur Kalan, Dehradun, Uttarakhand 248001",084770 15555,https://arihanthospitals.com/, 
Dehradun Superspeciality Hospital,"Viveka Nand Gram-Phase-I Near Jogiwala Chowk, Main, Haridwar - Dehradun Rd, Dehradun, Uttarakhand 248001",096341 97365,http://www.dehradunsuperspecialityhospital.com/,  dssh.care@gmail.com
Contact 877708t0496 Doon Hospital government,"New Rd, Race Course, Dehradun, Uttarakhand 248001",0135 272 6020,https://78530f42105-drashukla.business.site/,
Doon Public Hospital Safe Gastro and Surgery Center | Best Gastroenterologist | Surgeon | Piles | Liver |Hernia,"Garh Vihar Phace 2, IIP, Mohkampur, Kala, Mohkam Pur Kala, Uttarakhand 248005",070608 05051,http://doonpublichospital.in/, 
Jagdamba Hospital & Trauma Center - Best Multi Speciality Hospital in Dehradun,"Rispana Bridge, 197, Haridwar Rd, Dehradun, Uttarakhand 248001",099270 17152,http://www.jagdambahospital.com/,"  info@jagdambahospital.com,  info@jagdambahospital.com, info@jagdambahospital.com"
Sunanda Medical Centre,"ashwani enclave, 258 Sewla Kalan, Majra Lane 1, Shimla Bypass Rd, Dehradun, Uttarakhand 248171",0135 356 0692,https://sunandamedicalcentre.in/,
Rudraya Multispeciality Hospital & Trauma Center,"Pulia.6, Ring Rd, near Sabji Mandi, Dehradun, Uttarakhand 248001, Dehradun, Uttarakhand 248008",081719 33819,https://rudrayahospital.com/,"  rudrayahospital07@gmail.com, rudrayahospital07@gmail.com, Rudrayahospital07@gmail.com,  rudrayahospital07@gmail.com, rudrayahospital07@gmail.com, Rudrayahospital07@gmail.com"
"Fortis Escorts Hospital, Dehradun","2nd Floor, 83C4+7XP Coronation Hospital, Curzon Rd, Dalanwala, Dehradun, Uttarakhand 248001",0124 492 1021,https://www.fortishealthcare.com/hospitals?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb," reachus@fortishealthcare.comFor, investor.relations@fortishealthcare.comFor, ips@fortishealthcare.comFor, feedback@fortishealthcare.com"
Prakashdeep Hospital Dehradun |,"Guru Enclave, Saharanpur Rd, Majra, Dehradun, Uttarakhand 248002",075053 27188,http://www.prakashdeephospital.com/,
Doon Valley Hospital,"55, Haridwar Rd, East Rest Camp, Guru Nanak Vihar, Race Course, Dehradun, Uttarakhand 248001",0135 262 1094,,
"BALUNI HOSPITAL AYUSHMAN HOSPITAL , GOLDEN CARD,Best laproscopic surgery ,Gastro, Urology, Orthopaedic, Endoscopy,","Chakdalanwala, Viveka Nand Gram-Phase-I, Dehradun, Uttarakhand 248005",070175 32638,https://balunihospital.com/, 
S K मेमोरियल हॉस्पिटल,"12, EC Road, Irigation Colony, Karanpur, Dehradun, Uttarakhand 248001",098970 94700,,
CMI Hospital,"54, Haridwar Rd, East Rest Camp, Guru Nanak Vihar, Race Course, Dehradun, Uttarakhand 248001",0135 272 0238,,
Dolphin Jankalyan Multispecility Hospital,"4, Old Survey Rd, Karanpur, Dehradun, Uttarakhand 248001",0135 274 0203,,
Shri Yashoda Hospital,"Race Course Rd, Dharampur Chowk, Old Officer's Colony, Ajabpur Kalan, Dehradun, Uttarakhand 248001",074098 88111,,
Aarogyadham Super Speciality Hospital & Research Center,"6, New Rd, near Doon Hospital, Race Course, Dehradun, Uttarakhand 248001",099275 20008,http://www.aarogyadhamhospital.com/,
Hari Ram Kohli Memorial Hospital,"6,2b, Haridwar Rd, Shiv Nagar, Old Nehru Colony, Dharampur, Dehradun, Uttarakhand 248001",094563 00063,http://www.hrkohlihospital.com/,care@hrkohlihospital.com
Ananda Hospital,"Building 11, Lane 1, Haridwar - Dehradun Rd, Shastri Nagar, Ajabpur Kalan, Dehradun, Uttarakhand 248001",0135 357 6588,https://anandahospital-hospital.business.site/?utm_source=gmb&utm_medium=referral,
